nThreads,avg,min,max,throughput
1,2116.9,1901.8,3416.1,0.472
2,1309.4,1199.7,1925.4,0.764
3,1092.7,836.0,1445.7,0.915
4,912.9,852.9,970.5,1.095
5,854.5,799.8,912.8,1.170
6,756.0,686.8,850.2,1.323
7,735.0,684.9,818.2,1.360
8,752.8,718.8,807.0,1.328
9,765.4,716.8,808.0,1.306
10,790.4,724.6,867.2,1.265
11,756.6,712.9,791.0,1.322
12,763.6,720.2,970.7,1.310
13,778.3,727.0,905.3,1.285
14,775.3,734.4,834.4,1.290
15,794.6,722.2,930.2,1.258
16,759.2,703.3,843.0,1.317
